"3682023","Girardota","-75.46231","6.36789"
"3787201","3","260000000","70","Apartamento En Venta En Girardota Parque Cod. VMAT12287"
"2368334","3","580000000","1100","CASA CAMPESTRE EN EXCELENTE VEREDA DE GIRARDOTA"
"2368424","3","380000000","600","FINCA EN GIRARDOTA GANGAZO PORTACHUELOS"
"2218940","3","3700000000","26400","Finca Hermosa en Girardota, Vereda San Diego**"
"1970821","4","1200000000","7200","SE VENDE ACOGEDORA FINCA EN GIRARDOTA ANTIOQUIA"
"2032633","3","1300000000","19000"," VENTA FINCA EN GIRARDOTA"
"1950504","3","1200000000","6400","FINCA EN GIRARDOTA 6 MIL MTS 1200 MILLONES"
"4372721","None","2147483647","400","Finca en Venta, en Giradota Antioquia, vereda El Cabildo"
"3944543","None","1000000000","7000","Finca Girardota Antioquia, Vereda Portachuelo Se Vende/ Permuta ""3682023","Girardota","-75.46231","6.36789"
"3616165","None","3500000000","330","Vendo casa de recreo girardota antioquia"
"4288326","None","9000000","300","Arriendo de espectacular local"
"2063147","2","300000000","126","Casa en Girardota, Antioquia"
"2135771","3","250000000","3365","GRAN OPORTUNIDAD FINCA PARA SACAR 2 LOTES"
"2195424","3","138000000","76","apartamento en venta girardota"
"2218931","3","3700000000","26400","Casa Camp Hermosa en Girardota, Vereda San Diego**"
"2338225","2","218000000","2600","Finca en Girardota- vereda la meseta "
"1838339","3","415000000","5000","Finca en Venta en Girardota, Antioquia"
"3880283","None","3000000000","38400","VENTA FINCA EN GIRARDOTA ANTIOQUIA"
"3770096","None","4000000000","10000","Antioquia - Girardota - Enka De Colombia"
"3957651","None","515000000","3200","Antioquia - Girardota - Girardota"
"4329934","None","2147483647","38","Hermosa Finca Cerca A Girardota"
"4378071","None","2147483647","450","Finca en Girardota via Manga arriba"
"1736533","1","2200000000","8500","LOTE EN VENTA EN Girardota "
"2034573","3","1050000000","6400","Antioquia - Girardota"
"3989526","None","1250000000","640","VENDO CASA EN GIRARDOTA"
"4083510","2","160000000","2900","HERMOSO LOTE EN SAN VICENTE"
"4354387","None","550000000","4100","Lote en Girardota vereda el totumo"
"4364104","None","2147483647","4329","BODEGA EN VENTA, PARQUE INDUSTRIAS GIRARDOTA"
"3951368","None","500000000","3200","Venta Finca en Girardota Vereda El Barro JM"
"2229317","3","1700000000","None","Se Vende Espectacular Finca en Girardota - Ant "
"3973232","1","350000000","None","VENDO APARTAMENTO EN GIRARDOTA"
"2944408","None","1300000000","400","Antioquia - Girardota"
"2729846","None","250000000","130","AMPLIA CASA EN VENTA EN GIRARDOTA "
"2731215","None","320000000","5000","Casa Finca"
"4123597","None","680000000","None","Antioquia - Girardota"
"3708667","2","300000000","5000","venta de casa finca en girardota"
"2715013","None","3600000000","13000","CASA FINCA EN UNIDAD CERRADA GIRARDOTA"
"2716161","None","850000000","225","CASA  FINCA CAMPESTRE  GIRARDOTA"
"3225120","None","750000000","200","Finca venta Girardota vereda Manga arriba "
