"3682632","Envigado","-75.58333","6.16667"
"4283516","3","287999999","72","VENDO HERMOSO Y ACOGEDOR APARTAMENTO RECIEN REMODELADO DE 72 mt.""3682632","Envigado","-75.58333","6.16667"
"3383208","4","310000000","72","Antioquia - Envigado - Señorial"
"3890014","4","280000000","73","Apartamento en venta en Envigado Sector La Paz"
"3891831","5","485000000","98","Venta apartamento en Envigado,  Loma del Esmeraldal"
"4064152","5","430000000","92","Antioquia - Envigado - El Portal"
"4070935","4","295000000","63","Vendo Casa en el conjunto residencial Vista Alegre- Envigado 63 m2"
"4073309","5","430000000","110","VENDO APARTAMENTO EN URBANIZACION VILLA FONTANA ENVIGADO 110 M2"
"4082462","5","400000000","80","Apartamento en Venta en Loma Las Brujas, Envigado"
"4260301","5","540000000","105","Apartamento en Venta en Envigado - Zuñiga"
"4281498","5","630000000","108","SE VENDE APARTAMENTO EN ENVIGADO SECTOR LAS BRUJAS"
"4281793","5","950000000","189","SE VENDE CASA EN ENVIGADO ANTIOQUIA, SECTOR LA CALLEJA."
"4282660","3","1250000000","1200","Finca en Venta en Envigado - ZuÑiga"
"4282965","5","960000000","171","Antioquia - Envigado - Loma De Las Brujas"
"4282969","6","350000000","62","VENDO APARTAMENTO EN ENVIGADO SECTOR EL ESCOBERO"
"4283070","5","675000000","186","Antioquia - Envigado - La Abadia"
"4283314","6","430000000","54","APARTAESTUDIO EN VENTA - SECTOR EL ESCOBERO, ENVIGADO COD: 24826"
"4283382","3","1400000000","1400","Casa Independiente Loma Esmeraldal"
"4283516","3","287999999","72","VENDO HERMOSO Y ACOGEDOR APARTAMENTO RECIEN REMODELADO DE 72 mt."
"4284806","4","270000000","60","Venta. Apartamento. Envigado. Mesa. P. 10 C. 4789370"
"4287394","5","520000000","130","apartamento en venta Envigado Esmeralda "
"4287426","4","400000000","83","Apartamento para la venta en Envigado Sector Señorial"
"4288080","3","1350000000","350","Finca en Venta en Envigado - El Salado"
"4288157","3","236000000","69","VENDO APARTAMENTO EN MARINILLA, SECTOR LA DALIA"
"4288580","4","280000000","65","Antioquia - Envigado - Envigado, Las Antillas"
"4288947","3","260000000","62","Apartamento en Venta en Envigado - Las Cometas"
"4289056","5","800000000","147","Antioquia - Envigado - Loma De Las Brujas"
"4289698","5","570000000","95","Apartamento en Venta en Envigado - La Abadia"
"4289794","4","355000000","70","Apartamento en Venta en Envigado - El Dorado"
"4289856","4","840000000","220","Casa en Venta en Envigado - San Marcos"
"4290445","5","850000000","175","Antioquia - Envigado - Sur"
"4290549","4","310000000","67","APARTAMENTO EN VENTA - SECTOR SAN RAFAEL, ENVIGADO COD: 24709""3682632","Envigado","-75.58333","6.16667"
"4279223","5","550000000","103","Antioquia - Envigado - Cumbres"
"4279649","4","315000000","66","Antioquia - Envigado - La Cuenca"
"4221613","4","1450000000","2497","Antioquia - Medellín"
"4293344","5","790000000","138","Antioquia - Envigado - Loma Del Chocho"
"4293459","5","560000000","120","SE VENDE APARTAMENTO EN ENVIGADO ANTIOQUIA, SECTOR CUMBRES."
"4293522","6","580000000","75","APARTAESTUDIO EN VENTA - SECTOR ALTO DE LAS PALMAS COD: 24835"
"4293537","5","630000000","100","SE VENDE APARTAMENTO EN ENVIGADO ANTIOQUIA, SECTOR CUMBRES."
"4294196","5","550000000","100","SE VENDE APARTAMENTO EN ENVIGADO ANTIOQUIA, SECTOR CUMBRES."
"4294219","3","190000000","62","Apartamento en venta Envigado Alto de las Flores "
"4294806","5","640000000","108","SE VENDE APARTAMENTO EN ENVIGADO ANTIOQUIA, SECTOR LOMA DE LAS BRUJAS."
"4294824","5","550000000","102","SE VENDE APARTAMENTO EN ENVIGADO ANTIOQUIA, SECTOR CUMBRES."
"4295131","5","1460000000","273","SE VENDE PENTHOUSE EN ENVIGADO ANTIOQUIA, SECTOR LOMA DE LAS BRUJAS- "
"4295337","5","850000000","90","Venta. Casa. Envigado. Tres Esquinas. P. 1 C. 4850828"
"4295367","4","330000000","64","Antioquia - Envigado - La Cuenca"
"4295717","5","710000000","167","Venta casa Abadia Envigado "
"4296395","5","520000000","105","Antioquia - Envigado - Loma De Las Brujas"
"4298241","5","385000000","74","Apartamento Dúplex en Venta. Envigado, Cumbres."
"4300629","6","1550000000","2800","SE VENDE CASA EN ENVIGADO ANTIOQUIA, SECTOR LOMA DEL ESCOBERO."
"4300959","4","370000000","77","Apartamento en Venta. Envigado, La Sebastiana."
"4301564","5","2300000000","512","Venta casa Envigado Los Benedictinos"
"4301606","5","1290000000","200","Venta casa Envigado La Calleja, san lucas"
