"3680451","Itagui","-75.63117","6.17874"
"3999945","6","22500000","350","ALQUILO BODEGA INDUSTRIAL EN ITAGUI 1050 M2 EN TRES NIVELES"
"3998632","6","7500000","350","ALQUILO BODEGA INDUSTRIAL CERCA DE ESTACION ENVIGADO DEL METRO 350 M2 "
"3919952","3","340000000","123","Venta Apartamento La Gloria Itagüí, Antioquia"
"1717322","3","280000000","61","Antioquia - Itagui - Sector Centro"
"4247965","4","680000000","269","Antioquia - Itagui - Sur America"
"4284038","2","165000000","60","Venta de Apartamento El Rosario Itagüí"
"4289629","4","144900000","43","VENTA DE APARTAMENTO EN DITAIRES URB LA COLINA DE ASIS, ITAGUI"
"4302022","4","305000000","68","Antioquia - Itagui"
"4307061","3","330000000","160","Casa en Venta San Jose Itagui Antioquia."
"4311207","3","220000000","67","Venta de Apartamento Itagüí  "
"3986898","3","230000000","90","Casa Unifamiliar en Venta Barrio la Finca Itagüí Antioquia."
"4073188","4","375000000","88","Apartamento en Suramerica"
"4148068","4","390000000","83","Apartamento en Suramerica"
"3905662","3","245000000","76","Antioquia - Itagui - Simón Bolívar"
"4081148","3","195000000","65","Antioquia - Itagui - Terranova"
"4306347","4","620000000","213","Casa Itaguí, Suramérica - Se Vende"
"4310734","2","210000000","100","Antioquia - Itagui"
"4304941","3","265000000","115","Apartamento en venta en Itagui"
"4307882","3","200000000","70","Venta de Apartamento San Pablo Itagüí"
"4283534","2","165000000","60","Venta de Apartamento El Rosario Itagüí"
"4284108","2","190000000","100","Venta de Apartamento El Rosario Itagüí"
"4285061","3","240000000","55","Venta de Apartamento en Itagui Antioquia"3680451","Itagui","-75.63117","6.17874"
"4289928","3","210000000","58","VENTA LOCAL ESQUINERO ITAGUI DITAIRES "
"3430566","6","1850000000","300","Vendo Bodega Rentando Itagüí 440 mts"
"4284104","2","190000000","100","Venta de Apartamento El Rosario Itagüí"
"4301997","4","410000000","78","Antioquia - Itagui"
"3908294","4","295000000","77","Antioquia - Itagui - Suramerica"
"4283341","4","315000000","65","Apartamento en Suramerica"
