"9172235","Sabaneta","-75.62738","6.1289"
"4157312","4","460000000","92","Apartamento Venta Sabaneta El Carmelo 92m2"
"4157341","5","550000000","101","Venta Apartamento Sabaneta 101 m2"
"1641191","4","580000000","264","Antioquia - Medellín - Zaratoga"
"4301603","5","395000000","99","SE VENDE APARTAMENTO EN SABANETA ANTIOQUIA, SECTOR AVES MARÍA."
"4302280","4","285000000","60","Apartamento en Venta Sabaneta Alcazar "
"4303548","5","497000000","98","SE VENDE APARTAMENTO EN SABANETA ANTIOQUIA, SECTOR PRADOS DE SABANETA."
"4305908","4","350000000","82","APARTAMENTO EN VENTA - SECTOR BETANIA, SABANETA COD: 24966"
"4308204","3","360000000","84","Venta de Apartamento Alcazares Sabaneta"
"4308454","4","377000000","74","SE VENDE APARTAMENTO EN SABANETA ANTIOQUIA, SECTOR PAN DE AZÚCAR."
"4308513","4","1050000000","340","SE VENDE CASA EN SABANETA ANTIOQUIA, SECTOR LA DOCTORA."
"4306472","5","395000000","99","SE VENDE APARTAMENTO EN SABANETA ANTIOQUIA, SECTOR AVES MARÍA."
"4308729","4","295000000","70","Apartamento en Venta. Sabaneta, La Holanda."
"4310056","4","365000000","115","Venta de apartamento sabaneta parque""9172235","Sabaneta","-75.62738","6.1289"
"4311931","4","306000000","62","VENDO APARTAMENTO EN SABANETA RESTREPO NARANJO"
"4311984","4","381000000","79","Apartamento en Venta. Sabaneta, Asdesillas."
"4174565","4","360000000","77","Apartamento en Parque residencial un Sitio Ideal"
"4175306","3","260000000","60","Apartamento en Barrio Residencial  con Vista"
"4301404","4","365000000","76","SE VENDE APARTAMENTO EN SABANETA  ANTIOQUIA, SECTOR CALLE LARGA."
"4304357","3","240000000","60","VENDO APARTAMENTO EN SABANETA, SECTOR LAS VEGAS"
"4305633","4","330000000","72","Apartamento en Venta Barrio Virgen del Carmen, Sabaneta Antioquia"
"4305667","4","326000000","81","Apartamento en Venta. Sabaneta, Prados de Sabaneta."
"4308408","3","360000000","84","Venta de Apartamento Alcazares Sabaneta"
"3553118","4","420000000","87","Apartamento en Venta, Sabaneta"
"4222704","4","380000000","78","Antioquia - Sabaneta - El Carmelo"
"4285405","4","320000000","73","VENTA DE APARTAMENTO EN SABANETA SECTOR CALLE LARGA"
"4249294","4","398000000","79","Antioquia - Sabaneta - Sabaneta"
"4164203","5","464000000","106","Se vende apartamento en Sabaneta"
"4304481","4","475000000","103","SE VENDE APARTAMENTO EN SABANETA  ANTIOQUIA LOMA DE SAN JOSE"
"4307329","2","215000000","74","Apartamento en Venta. Sabaneta, La Florida."
"4310271","4","480000000","100","APARTAMENTO DUPLEX EN VENTA - SECTOR BETANIA, SABANETA COD: 24928"
"4310356","2","228000000","88","APARTAMENTO EN VENTA - SECTOR CALLE LARGA, SABANETA COD: 25012"
"4311825","4","525000000","146","SE VENDE APARTAMENTO EN SABANETA ANTIOQUIA, SECTOR LOMA SAN JOSE."
"4192165","2","210000000","55","Apartamento para la venta en Sabaneta, Loma de San José"
"2995901","4","290000000","65","APARTAMENTO 65 M2 CERCA HOSPITAL DE SABANETA Y ESTACIÓN METRO ESTRELLA"
"3975409","4","380000000","129","VENDO APARTAMENTO EN SABANETA  ANTIOQUIA SECTOR AVES MARIA"
"4291799","4","375000000","82","Apartamento en Venta. Sabaneta, San Remo / Cañaveralejo."
"4292082","5","480000000","106","Apartamento en venta en Sabaneta, San José"
