"4228922","4","322500000","81","Apartamento en Venta Sabaneta Antioquia.","Sabaneta","Sabaneta"
"4265342","4","275000000","66","Apartamento en Venta. Sabaneta, Entre amigos.","Sabaneta","Sabaneta"
"4271044","3","330000000","68","Apartamento venta Sabaneta loma san Jose","Sabaneta","Sabaneta"
"4273333","4","326500000","81","APARTAMENTO EN VENTA EN SABANETA SECTOR CALLE LARGA","Sabaneta","Sabaneta"
"4203972","4","532000000","106","Apartamento en Venta. Sabaneta, Pan de Azúcar.","Sabaneta","Sabaneta"
"4067221","3","380000000","78","Apartamento en Venta. Sabaneta, Mayorca.","Sabaneta","Sabaneta"
"4082486","4","280000000","60","Venta de Apartamento en Sabaneta sector Villas del Carmen","Sabaneta","Sabaneta"
"4087253","4","355000000","78","Apartamento en venta Sabaneta- San jose 78 mt2","Sabaneta","Sabaneta"
"4284145","4","530000000","101","APARTAMENTO EN VENTA SABANETA, AVES MARIA","Sabaneta","Sabaneta"
"4284159","4","345000000","78","apartamento  en venta Sabaneta Los Alcázares ","Sabaneta","Sabaneta"
"4285070","4","320000000","78","Apartamento en Venta en Sabaneta San José ","Sabaneta","Sabaneta"
"4292101","4","262000000","57","Apartaestudio en Venta. Sabaneta, Los Alcázares. ","Sabaneta","Sabaneta"
"4292104","4","306000000","62","Apartamento en Venta. Sabaneta, Los Alcázares. ","Sabaneta","Sabaneta"
"4292341","4","325000000","68","SE VENDE ESPECTACULAR APARTAMENTO SECTOR SABANETA ","Sabaneta","Sabaneta"
"4292924","4","365000000","77","Apartamento en Venta Calle Larga Sabaneta Antioquia.","Sabaneta","Sabaneta"
"4293924","2","260000000","59","Venta. Apartamento. Sabaneta. La Doctora. P. 19 C. 4836617","Sabaneta","Sabaneta"
"4293933","4","460000000","100","Apartamento en Venta Sabaneta La Doctora ","Sabaneta","Sabaneta"
"4240962","4","350000000","75","Venta. Apartamento. Sabaneta. Trapiche. P.25 C. 4758819","Sabaneta","Sabaneta"
"4247144","3","325000000","74","Apartamento en Venta en Sabaneta - Holanda","Sabaneta","Sabaneta"
"4275727","3","230000000","60","APARTAMENTO EN VENTA SABANETA, SECTOR LA DOCTORA, PARQUEADERO Y ÚTIL","Sabaneta","Sabaneta"
"4276174","4","340000000","71","VENDO APARTAMENTO EN SABANETA ","Sabaneta","Sabaneta"
