"3667817","Sopetrán","-75.75","6.5"
"4339290","None","123500000","190","Venta Lote en Sopetran"
"4336376","None","251076000","3416","Venta Lote en Sopetran"
"4338661","None","111370000","159","Venta Lote en Sopetran"
"4335010","None","2147483647","520000","Venta Lote Para Parcelar En Sopetran"
"4339162","None","133000000","190","Venta Lote en Sopetran"
"4337055","None","127400000","196","Venta Lote en Sopetran"
"4333404","None","222411008","3026","Venta Lote en Sopetran"
"4336121","None","320000000","2700","Venta Lote En Parcelacion En Sopetran"
"4334454","None","199550000","307","Venta Lote en Sopetran"
"4336412","None","250000000","1300","Venta Lote En Sopetran"
"4335299","None","242550000","3300","Venta Lote en Sopetran"
"4335543","None","124605000","191","Venta Lote en Sopetran"
"4333659","None","270000000","2700","Venta De Lotes Planos En Parcelación En Sopetrán"
"4337051","None","243162000","3078","Venta Lote en Sopetran"
"4335085","None","227850000","3100","Venta Lote en Sopetran"
"4333895","None","220500000","3000","Venta Lote en Sopetran"
"4335532","None","310000000","8600","Venta Lote En Parcelacion En Sopetran"
"4335182","None","257250000","3500","Venta Lote en Sopetran"
"4334891","None","240198000","3268","Venta Lote en Sopetran"
"4334858","None","2147483647","29000","Venta Lote En Sopetran Antioquia"
"4337309","None","198450000","2700","Venta Lote en Sopetran"
"4338552","None","130000000","200","Venta Lote en Sopetran"
"4335070","None","360000000","5714","Venta Lote En Parcelacion En Sopetran"
"4335444","None","2147483647","43000","Venta Lote En Sopetran"
"4332910","None","201390000","2704","Venta Lote en Sopetran"
"4335296","None","212500000","2500","VENDO LOTE LISTO PARA CONSTRUIR"
"4335754","None","192400000","296","Venta Lote en Sopetran"
"4333093","None","240000000","6906","Venta Lote Campestre Parcelacion Sopetran"
"4335010","None","2147483647","520000","Venta Lote Para Parcelar En Sopetran"
"4339162","None","133000000","190","Venta Lote en Sopetran"
"4337055","None","127400000","196","Venta Lote en Sopetran"
"4335997","None","205800000","2800","Venta Lote en Sopetran"
"4339233","None","213300000","2700","Venta de Lotes Planos en Parcelación Sopetran"
"4338661","None","111370000","159","Venta Lote en Sopetran"
"4335543","None","124605000","191","Venta Lote en Sopetran"
"4334891","None","240198000","3268","Venta Lote en Sopetran"
"4335532","None","310000000","8600","Venta Lote En Parcelacion En Sopetran"
"4333659","None","270000000","2700","Venta De Lotes Planos En Parcelación En Sopetrán"
"4335085","None","227850000","3100","Venta Lote en Sopetran"
"4333895","None","220500000","3000","Venta Lote en Sopetran"
"4335182","None","257250000","3500","Venta Lote en Sopetran"
"4336412","None","250000000","1300","Venta Lote En Sopetran"
"4337051","None","243162000","3078","Venta Lote en Sopetran"
"4348066","None","1100000000","None","Venta Finca en Sopetran"
"4349646","None","1500000000","None","FINCA en VENTA en Sopetrán Parcelacion El Rodeo"
"4350471","None","950000000","None","Venta Finca en Sopetran"
"3891862","3","1200000","800","Finca en san jerónimo para 18 personas"
"4336016","None","550000000","None","Venta Casa En Sopetran"
"4355379","None","1200000000","None","FINCA en VENTA en Sopetrán Vereda La Miranda"
"4336646","None","265000000","2700","Venta Lote En Parcelacion En Sopetran"
"4333242","None","500000000","10000","Venta Lote en Sopetran"
"4333754","None","380000000","10500","Venta Lote en Sopetran"
"4336403","None","330000000","4600","Venta Lote En Parcelación En Sopetran"
"4334288","None","545000000","5100","Venta De Lote En Parcelación En Sopetràn"
"4334877","None","325000000","2540","Venta Lote En Sopetran"
"4335907","None","2147483647","134400","Venta Lote En Sopetran Vereda Cordoba"
"4337299","None","2147483647","92000","Venta Lote En Sopetran"
"4336930","None","170000000","2043","Venta Lote en Sopetran"
