"2068310","5","2600000000","792","VENTA CASA SAN JOSE DE BAVARIA,BOGOTA"
"2073844","3","890000000","184","Antioquia - Envigado - Loma Del Esmeraldal"
"2094643","4","1395000000","952","Cundinamarca - Bogotá D.C."
"1792267","3","344000000","50","VENTA DE CASA EN CASTILLA  KENNEDY BOGOTA "
"1866782","2","135000000","77","Venta casa Flandes Girardot conjunto Aragon "
"1889176","3","310000000","138","VENTA CASA BOGOTA EN SAN FERNANDO CALLE 70 CON 54"
"1907445","6","470000000","210","Vendo Casa conjunto Cerrado Bavaria Santa Marta "
"1908210","6","2500000000","927","Antioquia - Medellín - El Tesoro"
"1938480","6","1300000000","1511","Venta de casa en Alfaguara, Jamundi, Sur, Cali"
"1939829","6","2600000000","1500","Se Vende Casa De Lujo Condominio Norte Armenia"
"1941881","3","920000000","57","Valle del Cauca - Sevilla - Este"
"1943006","6","1582000000","264","Venta/Arriendo, Apartamento La Reserva Armenia Quindío"
"2876895","6","1000000000","173","AMPLIO APARTAMENTO REMODELADO EN BUGANVILLA - VENTA"
"2877131","6","1600000000","302","Lujoso apartamento primera línea del Playa Salguero santa marta - 005"
"2892170","5","490000000","94","Antioquia - Envigado - Otra Parte"
"2896500","5","1500000000","5400","VENDO CASA FINCA EN COPACABANA ANTIOQUIA"
"2900252","5","360000000","92","Lindo Apartamento Pinares de Chia"
"2915556","4","500000000","91","Venta apartamento Sabaneta con super vista"
"2934263","4","170000000","65","Se Vende Apartamento - Sector Coliseo"
"2934451","5","150000000","45","Venta de apartamento cerca del mar Rodadero Santa Marta"
"3853591","6","3400000000","1170","Se Vende Casa Condominio Campestre Sopo Sabana de Bogota"
"3859326","4","395000000","88","Vendo apartamento Chía cerca U.Sabana "
"3859803","5","450000000","200","CASA EN VENTA, PAMPALINDA, SUR, CALI"
"3860134","5","300000000","78","VENTA OPORTUNIDAD BELLA SUIZA 78MTS "
"3860253","5","360000000","83","APARTAMENTO VENTA NIZA ANTIGUA 83 MTS 360 MILLONES"
"3862000","3","100000000","47","Se vende apartamento de 2 alcobas El  Cisne – Santa Marta – 05"
"3863955","6","590000000","144","Antioquia - Medellín - Loma De Los Parra"
"3865091","5","360000000","86","VENDO CASA EN EL SECTOR DE NIZA PEREIRA"
"3865645","3","675000000","282","Casa lote en venta Ferrocajas Fontibon"
"3865770","6","520000000","128","Apartamento Amplio en Venta en Castropol"
"3866000","4","550000000","224","Casa En Conjunto Urbano En La Mesa"
"3868053","6","600000000","78","Apartamento en Venta. Medellín, Poblado"
"3875282","3","220000000","58","VENTA APARTAESTUDIO BOGOTA GALERÍAS PARA ESTRENAR"
"3875558","5","1000000000","2500","Casa en Condominio campestre en La Mesa"
"3876493","2","210000000","72","Valle del Cauca - Cali - Comfenalco"
"3876860","5","330000000","98","Apartamento en venta en Calasanz  - Medellín"
"3877399","6","990000000","750","VENTA DE CASA CAMPESTRE EN ALFAGUARA JAMUNDI"
"3877997","6","2000000000","1898","Vendo Hermosa Casa En Puerto Peñalisa"
"3878147","6","2697447500","269","APARTAMENTO DÚPLEX EN VENTA - ROSALES"
"3878316","6","2595169500","255","LUJOSO APARTAMENTO DÚPLEX EN VENTA - ROSALES"
"3878839","6","670000000","152","VENDO APARTAMENTO POR LOS BALSOS"
"3878904","4","335000000","47","CASA EN VENTA, SANTA ANITA, SUR, CALI"
"3879693","6","1700000000","220","EXCELENTE APTO REMODELADO EL ROSALES - VENTA"
"3884212","3","250000000","64","Apartamento en Venta. Bello, Madera."
"3885709","5","550000000","155","Se Vende Apartamento La Campiña Norte de Armenia"
"3887313","5","530000000","200","Antioquia - La Ceja - El Tambo"
"3887491","6","900000000","240","Se Vende Hermosa Casa Campestre en Chinauta"
"3889900","5","430000000","75","MODERNO APARTAESTUDIO EN BATAN- VENTA "
"3890014","4","280000000","73","Apartamento en venta en Envigado Sector La Paz"
"3890590","3","165000000","67","VENDO APARTAMENTO EN MADRID C/marca Conjunto Altos de Madrid"
"3877399","6","990000000","750","VENTA DE CASA CAMPESTRE EN ALFAGUARA JAMUNDI"
"3877997","6","2000000000","1898","Vendo Hermosa Casa En Puerto Peñalisa"
"3878147","6","2697447500","269","APARTAMENTO DÚPLEX EN VENTA - ROSALES"
"3878316","6","2595169500","255","LUJOSO APARTAMENTO DÚPLEX EN VENTA - ROSALES"
"3878839","6","670000000","152","VENDO APARTAMENTO POR LOS BALSOS"
"3878904","4","335000000","47","CASA EN VENTA, SANTA ANITA, SUR, CALI"
"3879693","6","1700000000","220","EXCELENTE APTO REMODELADO EL ROSALES - VENTA"
"3884212","3","250000000","64","Apartamento en Venta. Bello, Madera."
"3885709","5","550000000","155","Se Vende Apartamento La Campiña Norte de Armenia"
"3184551","3","110000000","47","Cundinamarca - Ricaurte - Ricaurte Cundinamarca"
"3205727","3","220000000","68","VENDO! Apto en C.R. ""Portal de la Loma - Primera Etapa"""
"3220444","3","350000000","122","Quindío - Filandia - Casco Urbano"
"3220547","5","630000000","115","Antioquia - Envigado - Cumbres"
"3232290","4","175000000","78","Atlántico - Barranquilla - Bellavista"
"3232367","5","920000000","105","MODERNO APTO EXTERIOR FRENTE A PARQUE DE LA CALLEJA - ESTRENAR - VENTA"
"3255654","4","190000000","68","VENDEMOS  DE APARTAMENTO EL TRIANGULO - VILLAVICENCIO"
"3257217","6","1750000000","460","VENDO CASA - ARBORADA DE COTA "
"3258415","5","360000000","92","Apartamento Nuevo A La Venta Barrio Profesionales Armenia"
"3259582","6","780000000","171","VENTA DE APARTAMENTO EN  CIUDAD JARDÍN - ZONA SUR - CALI "
"3259592","3","180000000","207","CASA DE 3 PISOS EN EL POPULAR - CALI"
"3259612","6","730000000","189","VENTA DE APARTAMENTO EN  SANTA MÓNICA - ZONA NOROESTE - CALI "
"3259650","6","595000000","141","VENTA DE APARTAMENTO EN ARBOLEDAS OESTE DE CALI"
"3269390","5","465000000","95","Vta Apto 95 M Contador 2 Hb 3B 2G"
"3277880","3","175000000","58","Antioquia - Bello - El Trapiche"
"3289120","5","435000000","254","CASA EN VENTA, EL CASTILLO, JAMUNDÍ"
"3294890","4","830000000","200","Casa en Venta en Andes, Bogotá"
"3295694","5","900000000","190","Antioquia - Envigado - Loma Del Chocho"
"3296141","6","1800000000","1590","Venta de Casa Campestre Cerritos Pereira"
"3299159","6","740000000","1100","Se vende casa campestre en Cerritos cerca a plazuela castilla "
"3345447","3","2700000000","20000","VENDO  FINCA VILLAVICENCIO- META VEREDA EL CAIRO"
