"9609515","El Carmen de Viboral","-75.26322","5.9781"
"4357130","None","350000000","3333","Venta de Lotes El Canadá El Carmen de Viboral Antioquia"
"4341678","None","580000000","2579","Venta Lote en el Carmen de Viboral"
"4376469","None","610000000","2000","Venta de lote via San Antonio la Ceja"
"4342235","None","720000000","4361","Venta Lote en Parcelación en el Carmen de Viboral"
"4368532","None","640000000","2580","Venta Lote La Ceja"
"4347260","None","760000000","2800","Venta de Lote en Unidad Cerrada via San Antonio La Ceja"
"4361593","None","740000000","None","FINCA en VENTA en El Carmen De Viboral Carmen de Viboral"
"4368655","None","1100000000","None","FINCA en VENTA en El Carmen De Viboral Vereda Quirama"
"4361098","None","1250000000","None","CASA CAMPESTRE en VENTA en El Carmen De Viboral Vereda Quirama"
"4346926","None","281700000","1878","Venta de lote en el Carmen de Viboral"
"4376893","None","318150016","212","Venta de lote en el Carmen de Viboral"
"4352703","None","313200000","2088","Venta de lote en el Carmen de Viboral"
"4374209","None","293700000","1958","Venta de lote en el Carmen de Viboral"
"4345759","None","165000000","2000","Venta Lote Carmen de Viboral"
"4339999","None","900000000","8934","Vendo lote en la unidad samaria Carmen de Viboral"
"4336046","None","742000000","4361","Lote Listo Para Construir Y Hacer Realidad Tu Casa Soñada"
"3100905","4","360000000","3340","Lote En Venta En El Carmen De Viboral Canada Cod. VAYH3503"
"4372792","None","510000000","3564","Venta de Lote en el Carmen de Viboral"
"4350772","None","495000000","2500","Venta de Lote Vía La Ceja Rionegro Antioquia"
"4371178","None","2147483647","10000","Venta  Lote  Via Don Diego Llanogrande"
"4375604","None","490000000","3089","Venta de Lote en el Carmen de Viboral"
"4331158","None","812000000","4920","Hermoso lote en parcelación, Vía la Ceja!"
"4351093","None","550000000","2880","Venta de Lote Vía La Ceja Rionegro Antioquia 2.880 mt"
"2895093","3","500000000","10000","Lote En Venta En El Carmen De Viboral Entrada Al Carmen Cod. VAYH3475"
"4366254","None","4500000","130","FINCA IDEAL PARA VIVIR Y DESCANSAR"
"4227578","4","550000000","3600","LOTE EN VENTA EN El Carmen De Viboral"
"3758882","4","490000000","3100","LOTE EN VENTA EN El Carmen De Viboral"
"4310872","None","450000000","161","Casa en venta"
"4311917","4","1200000000","None","Carrera 31"
"4384974","None","550000000","210","casa campestre en venta Carmen de Viboral vía Rionegro"
"4343017","None","700000000","4000","Venta De Lote En La Ceja"
"4346550","None","325000000","2500","Venta de lote en El Carmen de Viboral, Antioquia"
"4415196","None","1300000000","2000","Finca en venta en El Carmen de Viboral (Antioquia)"
"4382315","None","980000000","7000","Finca en venta en El Carmen de Viboral (Antioquia) Aguas Claras"
"4413917","None","567000000","6300","Lote en venta en El Carmen de Viboral (Antioquia)"
"4378631","None","1350000000","3200","Finca en venta en la vereda El Salado 42A884"
"4380183","None","1300000000","3350","Finca en venta en El Carmen de Viboral (Antioquia)  Aguas Claras"
"4388932","None","227000000","59","Casa en venta en el Carmen de Viboral (Antioquia)"
"4404342","None","230000000","None","Cómodo apartamento Quintas de la Florida segundo piso + mansarda"
"4382214","None","1700000000","3120","Finca en venta en El Carmen de Viboral (Antioquia)  la vereda El Salado 42A883"
"4398153","None","115000000","78","Lote en venta en El Carmen de Viboral (Antioquia)"
"4402310","None","550000000","466","Casa en venta en El Carmen de Viboral (Antioquia) La Maria - 42A930"
"4405216","None","400000000","3790","Lote en venta en El Carmen de Viboral (Antioquia) vereda samaria - 42A1180"
"4417256","None","380000000","118","Casa en venta en el Carmen de Viboral (Antioquia)"
"4383157","None","1850000000","3600","Finca en venta en El Carmen de Viboral (Antioquia) Quirama - 42A662"
"4382436","None","760000000","1000","FINCA 1000 mts2 Carmen de Viboral Sector El Canada"
"4388190","None","980000000","1629","VENTA CASA FINCA 1629 mts2 Carmen de Viboral a 300 metros Vía La Ceja Rionegro"
"4387090","None","570000000","2520","VENTA LOTE 2520 mts2 Parcelación Unidad Cerrada Vía La Ceja Rionegro"
"4383102","None","480000000","540","VENTA FINCA 540 mts2 VÍA LA CEJA - RIONEGRO"
"4403185","None","250000000","87","Apartamento en venta, sector  San Fernando el Carmen"
"4338717","None","130000000","None","Terreno en Venta Ubicado en EL CARMEN DE VIBORAL Codigo 17793"
"4338534","None","640000000","None","Terreno en Venta Ubicado en EL CARMEN DE VIBORAL Codigo 18274"
"4380692","None","723000000","3615","LOTE 3615 mts2 en Parcelación Vía La Ceja - Rionegro"
"4349700","None","590000000","None","FINCA en VENTA en El Carmen De Viboral vereda Betania"
"4341456","None","360000000","None","CASALOTE en VENTA en El Carmen De Viboral Las Manguitas"
"4344765","None","2147483647","35400","Lote en Venta El Carmen de Viboral Vía el Canadá"
"4349733","None","1300000000","250","Finca en venta en El Carmen de Viboral"
"4348058","None","2147483647","380","Casa Campestre En Venta El Carmen De Viboral"
"4399856","None","1580000000","300","casa finca en venta Carmen de viboral SMSM"
"4429028","None","495000000","4000","Venta de lote en el Carmen de Viboral, Antioquia"
"4455245","None","2000000000","None","FINCA en VENTA en El Carmen De Viboral vereda Quirama"
"4400892","None","205000000","74","Venta de casa en El Carmen de Viboral, Antioquia"
"4450201","None","530000000","None","Hermoso lote en venta URBANISTICO"
"4445950","None","330000000","2500","CERROS DE SAN NICOLÁS"
"4450241","None","330000000","125","Hermosa casa en venta"
"4429360","None","3750000","3200","Finca en arriendo en Carmen de Viboral (Antioquia) Sector La Cucharita"
"4424823","None","460000000","4100","Venta de lotes en el Carmen de Viboral, Antioquia"
"4450147","None","425000000","155","Hermosa casa en venta"
"4424425","None","195000000","None","Venta de apartamento en el Carmen de Viboral, Antioquia"
"4404957","None","350000000","None","SE VENDE LOTE EN EL CARMEN DE VIBORAL"
