"4303905","0","550000000","200","VENDO CASA CON LOTE VEREDA LA HONDA GUARNE ANTIOQUIA COD. 1156237","Guarne"
"2638979","3","920000000","9000","Finca en Guarne","Guarne"
"2639478","3","430000000","2600","Finca en Guarne","Guarne"
"2211868","3","2200000000","44660","VENTA DE CASA CAMPESTRE EN GUARNE","Guarne"
"4347953","0","580000000","5000","# terreno  lote en venta Guarne aeropuerto cerca al túnel","Guarne"
"4346995","0","2147483647","1054","Venta Bodega Industrial Ubicada en Guarne","Guarne"
"4353248","0","600000000","10000","terreno, lote en venta Guarne cerca parque Arví","Guarne"
"4203490","6","320000000","1600","LOTE EN VENTA EN Guarne ","Guarne"
"4371626","0","480000000","50","Venta Finca en Guarne","Guarne"
"3442698","3","599000000","5000","Casa finca cerca de la autopista Medellín-Bogotá","Guarne"
"4373390","0","675000000","689","Venta Lote Industrial en Unidad Cerrada ubicada en Guarne","Guarne"
"4370469","0","500000000","50","Venta de Lote con Cabaña en Guarne Antioquia","Guarne"
"2101055","3","800000000","6500","Finca de recreo en Venta vereda la Hondita Guarne ","Guarne"
"2125059","3","450000000","4000","FINCA VIA A SAN VICENTE 4 MIL MTS 450 MILLONES","Guarne"
"2130600","3","680000000","2200","FINCA EN GUARNE 2200 MTS 680 MILLONES","Guarne"
"2197261","3","50000000","133","Casa en Guarne de 133 M","Guarne"
"3433162","4","450000000","130","Hermosa Casa En Parcelación Abierta - Guarne - Sector La Clara. 130m2","Guarne"
"3433495","5","920000000","300","Hermosa Finca Para Estrenar. 300m2","Guarne"
"2220995","3","580000000","10000","Venta finca guarne vereda el sango","Guarne"
"2223743","3","745000000","5000","Se vende finca en Guarne, Vereda Toldas.","Guarne"
"1963325","3","570000000","5000","CASA FINCA EN GUARNE 5 MIL MTS 570 MILLONES","Guarne"
"2006613","4","1100000000","3750","CASA FINCA GUARNE AEROPUERTO 3750 MTS 1.100 MILL","Guarne"
"2029662","3","850000000","19800","FINCA EN GUARNE 19800 MTS 850 MILLONES","Guarne"
"2029714","3","420000000","4000","CASA FINCA EN GUARNE 4 MIL MTS 420 MILLONES","Guarne"
