"3675265","Marinilla","-75.3","6.2"
"2030342","3","550000000","5500","FINCA MARINILLA 5500 MTS 550 MILLONES"
"2030399","3","450000000","5000","FINCA EN MARINILLA 5 MIL MTS 450 MILLONES"
"2035664","4","800000000","38400","Finca en Marinilla vereda Las Mercedes"
"2074314","3","130000000","10000","FINCA EN MARINILLA 10 MIL MTS 130 MILLONES"
"2029706","3","350000000","11000","FINCA MARINILLA 11 MIL METROS 350 MILLONES"
"2029772","3","650000000","3500","FINCA EN MARINILLA 3500 METROS 650 MILLONES"
"2029806","3","650000000","3300","FINCA EN MARINILLA ESTRENAR  650 MILLONES"
"2029807","3","300000000","3200","FINCA EN MARINILLA VIA PEOL 300 MILLONES"
"2030342","3","550000000","5500","FINCA MARINILLA 5500 MTS 550 MILLONES"
"2030399","3","450000000","5000","FINCA EN MARINILLA 5 MIL MTS 450 MILLONES"
"2035664","4","800000000","38400","Finca en Marinilla vereda Las Mercedes"
"2074314","3","130000000","10000","FINCA EN MARINILLA 10 MIL MTS 130 MILLONES"
"2095413","2","225000000","9623","FINCA EN MARINILLA 9600 MTS 225 MILLONES"
"1870239","3","350000000","4000","FINCA EN MARINILLA 4 MIL METROS 350 MILLONES"
"1875655","3","480000000","9050","FINCA EN MARINILLA 9 MIL MTS 480 MILLONES"
"1944710","3","450000000","4200","FINCA EN MARINILLA 4200 MTS 450 MILLONES"
"2612462","3","300000000","40","Venta de Casa en Marinilla, Monteverde"
"2448179","3","1250000000","90000","FINCA EN MARINILLA VIA PEOL 90 MIL MTS "
"2448331","3","2400000000","22674","LINDA FINCA EN VENTA MARINILLA ANTIIQUIA"
"2468282","3","265000000","76","Venta de apartamento en Marinilla "
"1672249","3","800000000","7000","finca en mediaciones de rionegro y el carmen"
"1962147","3","450000000","2000","CASA FINCA EN MARINILLA 2000 MTS  450 MILLONES"
"2001907","3","650000000","4000","FINCA EN MARINILLA  ESTRENAR 4 MIL MTS 650 MILL"
"2004254","3","350000000","3300","CASA FINCA EN MARINILLA 3300 350 MILLONES"
"2008336","3","295000000","2500","FINCA EN MARINILLA 2500 mts 295 MILLONES "
